Data do repasse,Repasse Previsto,Repasse Arrecadado,Repasse Devolvido,Repasse a devolver,URL
2025-07-18,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-07-18
2025-08-06,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-08-06
2025-08-14,10466666.67,10462100.75,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-08-14
2025-08-15,10200000.00,10200000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-08-15
2025-08-20,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-08-20
2025-09-05,1000000.00,1000000.00,0.0,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-09-05
2025-09-16,6000000.00,6000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-09-16
2025-09-16,4466666.67,4466095.93,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-09-16-1
2025-09-16,10200000.00,10200000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-09-16-2
2025-09-19,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-09-19
2025-10-07,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-10-07
2025-10-14,10466666.67,10466095.93,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-10-14
2025-10-15,10200000.00,10200000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-10-15-1
2025-10-20,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-10-20-1
2025-11-05,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-11-05
2025-11-13,10466666.67,10466095.93,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-11-13
2025-11-14,10200000.00,10200000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-11-14
2025-11-18,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-11-18
2025-12-05,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-12-05-1
2025-12-12,6000000.00,6000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-12-12-1
2025-12-15,4466666.67,4466095.89,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-12-15
2025-12-16,10200000.00,10200000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-12-16-1
2025-12-19,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-12-19-1
