Data do repasse,Repasse Previsto,Repasse Arrecadado,Repasse Devolvido,Repasse a devolver,URL
2025-01-09,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-01-09
2025-01-14,6000000.00,6000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-01-14
2025-01-15,10200000.00,10200000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-01-15
2025-01-16,4466666.67,4466666.67,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-01-16
2025-01-20,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-01-20
2025-02-06,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-02-06
2025-02-13,6000000.00,6000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-02-13
2025-02-17,4466666.67,4466666.67,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-02-17
2025-02-18,10200000.00,10200000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-02-18
2025-02-20,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-02-20
2025-03-06,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-03-06
2025-03-14,6000000.00,6000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-03-14
2025-03-17,4466666.67,4466666.67,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-03-17
2025-03-18,10200000.00,10200000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-03-18
2025-03-20,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-03-20
2025-04-08,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-04-08
2025-04-14,6000000.00,6000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-04-14
2025-04-15,4466666.67,4466666.67,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-04-15
2025-04-16,10200000.00,10200000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-04-16
2025-04-17,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-04-17
2025-05-07,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-05-07
2025-05-12,6000000.00,6000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-05-12
2025-05-14,4466666.67,4466666.67,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-05-14
2025-05-16,10200000.00,10200000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-05-16
2025-05-20,1000000.00,1000000.00,"0,00",,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-05-20
2025-06-06,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-06-06-1
2025-06-13,6000000.00,6000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-06-13-1
2025-06-16,4466666.67,4466666.67,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-06-16-1
2025-06-18,10200000.00,10200000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-06-18-1
2025-06-20,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-06-20-1
2025-07-07,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-07-07
2025-07-14,4466666.67,4466666.67,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-07-14
2025-07-14,6000000.00,6000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-07-14-2
2025-07-15,10200000.00,10200000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/2025/2025-07-15
