Id,Nome,Cargo,Diárias,Início,Término,Motivo,Local,Valor Unitário,Total,URL
frederico-m-de-m-s-ferreira-02-07-2024-ate-04-07-2024,Frederico M. de M. S. Ferreira,VEREADOR,2,2024-07-02,2024-07-04,Visita institucional à Frente Parlamentar de Gestão de Riscos e Desastres com o objetivo de promover projetos e melhorias em segurança para o município do Recife.  ,Brasília-DF,"900,00","1.800,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/frederico-m-de-m-s-ferreira-02-07-2024-ate-04-07-2024
alcides-jose-de-a-cardoso-03-07-2024-ate-04-07-2024,Alcides Jose de A. Cardoso,VEREADOR,2,2024-07-03,2024-07-04,Visita institucional à Frente Parlamentar de Gestão de Riscos e Desastres com o objetivo de promover projetos e melhorias em segurança para o município do Recife.  ,Brasília-DF,"900,00","1.800,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/alcides-jose-de-a-cardoso-03-07-2024-ate-04-07-2024
weberson-flavio-s-florencio-29-07-2024-ate-30-07-2024,Weberson Flavio S. Florencio,VEREADOR,2,2024-07-29,2024-07-30,"Reunião ministerial com a ministra do Meio Ambiente, Marina Silva.",Brasília-DF,"900,00","1.800,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/weberson-flavio-s-florencio-29-07-2024-ate-30-07-2024
weberson-flavio-s-florencio-15-10-2024-ate-17-10-2024,Weberson Flavio S. Florencio,VEREADOR,3,2024-10-15,2024-10-17,Reuniões no Ministério do Meio Ambiente e na Câmara dos Deputados. ,Brasília - DF,"900,00","2.700,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/weberson-flavio-s-florencio-15-10-2024-ate-17-10-2024
rodrigo-b-coutinho-de-melo-21-10-2024-ate-22-10-2024,Rodrigo B. Coutinho de Melo,Vereador,1,2024-10-21,2024-10-22,Visita ao Vereador Rodrigo Goulart referente ao intercâmbio de projetos legislativos e urbanísticos para cidade do Recife.,São Paulo - SP,"900,00","900,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/rodrigo-b-coutinho-de-melo-21-10-2024-ate-22-10-2024
aderaldo-de-oliveira-florencio-19-11-2024-ate-21-11-2024,Aderaldo de Oliveira Florencio,VEREADOR,3,2024-11-19,2024-11-21,Reunião e encontro com parlamentares da bancada pernambucana no Congresso Nacional para trazer recursos através de emendas parlamentares para a LOA 2025 em discussão e acompanhar o debate sobre a PLP 42/2023 que trata da aposentadoria especial. ,Brasília-DF,"900,00","2.700,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/aderaldo-de-oliveira-florencio-19-11-2024-ate-21-11-2024
helio-batista-de-oliveira-26-11-2024-ate-27-11-2024,Helio Batista de Oliveira,VEREADOR,1,2024-11-26,2024-11-27,Reunião no Congresso Nacional para relações diplomáticas entre os Poderes. ,Brasília-DF,"900,00","900,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/helio-batista-de-oliveira-26-11-2024-ate-27-11-2024
victor-andre-gomes-c-batista-26-11-2024-ate-28-11-2024,Victor Andre Gomes C. Batista,VEREADOR,2,2024-11-26,2024-11-28,Convite para ser expositor na audiência pública na Câmara dos Deputados sobre a instituição no calendário oficial de eventos do Dia Nacional em Memória às vítimas de sinistros de trânsito.,Brasília-DF,"900,00","1.800,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/victor-andre-gomes-c-batista-26-11-2024-ate-28-11-2024
marco-aurelio-de-m-lima-ii-03-12-2024-ate-07-12-2024,Marco Aurelio de M. Lima ii,Vereador,4,2024-12-03,2024-12-07,"Visita técnica a Câmara Municipal de Salvador/BA e ao “Salvador cidade da música”, como presidente da comissão de grandes eventos.  Reunião com o secretário de planejamento sobre a implantação dos corredores verdes e participação no fórum de premiação lixo zero brasil.",Salvador-BA,"900,00","3.600,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/marco-aurelio-de-m-lima-ii-03-12-2024-ate-07-12-2024
andreza-bandeira-f-de-o-melo-27-12-2024-ate-30-12-2024,Andreza Bandeira F. de O. Melo,VEREADOR,3,2024-12-27,2024-12-30,"Participação em reunião com parlamentares e órgãos públicos de proteção e bem-estar animal, com o objetivo de debater políticas públicas, ações de preservação e fortalecimento da legislação dos direitos dos animais.   

",São Paulo - SP,"900,00","2.700,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/andreza-bandeira-f-de-o-melo-27-12-2024-ate-30-12-2024
